2025-06-05 14:17:59 - Temp: , Hum: , Soil: , Relay: 
2025-06-05 14:18:02 - Temp: , Hum: , Soil: , Relay: 
2025-06-05 14:36:01 - Temp: 27.5, Hum: 58, Soil: 1024, Relay: 0
2025-06-05 14:36:09 - Temp: 27.39999962, Hum: 58, Soil: 1024, Relay: 0
2025-06-05 14:36:15 - Temp: 27.39999962, Hum: 58.09999847, Soil: 1024, Relay: 0
2025-06-05 14:36:20 - Temp: 27.39999962, Hum: 58.20000076, Soil: 1024, Relay: 0
2025-06-05 14:36:35 - Temp: 27.29999924, Hum: 58.20000076, Soil: 1024, Relay: 0
2025-06-05 14:36:44 - Temp: 27.20000076, Hum: 58.40000153, Soil: 1024, Relay: 0
2025-06-05 14:36:49 - Temp: 27.20000076, Hum: 58.79999924, Soil: 1024, Relay: 0
2025-06-05 14:36:57 - Temp: 27.20000076, Hum: 59.09999847, Soil: 1024, Relay: 0
2025-06-05 14:37:26 - Temp: 27.10000038, Hum: 59.09999847, Soil: 541, Relay: 0
2025-06-05 14:37:31 - Temp: 27, Hum: 59.29999924, Soil: 438, Relay: 1
2025-06-05 14:37:47 - Temp: 26.89999962, Hum: 59.59999847, Soil: 502, Relay: 0
2025-06-05 14:37:52 - Temp: 26.89999962, Hum: 59.79999924, Soil: 387, Relay: 1
2025-06-05 14:38:08 - Temp: 26.79999924, Hum: 60, Soil: 1024, Relay: 0
2025-06-05 14:38:16 - Temp: 26.79999924, Hum: 60.20000076, Soil: 1024, Relay: 0
2025-06-05 14:38:21 - Temp: 26.79999924, Hum: 60.29999924, Soil: 556, Relay: 0
2025-06-05 14:44:43 - Temp: 26.39999962, Hum: 62.20000076, Soil: 1024, Relay: 0
2025-06-05 14:44:55 - Temp: 26.39999962, Hum: 62.20000076, Soil: 1024, Relay: 0
2025-06-05 14:45:10 - Temp: 26.29999924, Hum: 62.29999924, Soil: 1024, Relay: 0
2025-06-05 14:45:15 - Temp: 26.29999924, Hum: 62.20000076, Soil: 1024, Relay: 0
2025-06-05 14:45:21 - Temp: 26.29999924, Hum: 62.20000076, Soil: 1024, Relay: 0
2025-06-05 14:45:36 - Temp: 26.29999924, Hum: 62.29999924, Soil: 1024, Relay: 0
2025-06-05 14:45:54 - Temp: 26.29999924, Hum: 62.40000153, Soil: 1024, Relay: 0
2025-06-05 14:46:00 - Temp: 26.29999924, Hum: 62.5, Soil: 1024, Relay: 0
2025-06-05 14:46:15 - Temp: 26.20000076, Hum: 62.59999847, Soil: 1024, Relay: 0
2025-06-05 14:56:08 - Temp: 25.89999962, Hum: 67.19999695, Soil: 124, Relay: 1
2025-06-05 14:56:47 - Temp: 26, Hum: 64.40000153, Soil: 117, Relay: 1
2025-06-05 14:59:45 - Temp: 25.79999924, Hum: 64.30000305, Soil: 278, Relay: 1
2025-06-05 14:59:53 - Temp: 25.79999924, Hum: 64.19999695, Soil: 281, Relay: 1
2025-06-05 15:00:11 - Temp: 25.70000076, Hum: 64, Soil: 281, Relay: 1
2025-06-05 15:00:27 - Temp: 25.70000076, Hum: 63.90000153, Soil: 281, Relay: 1
2025-06-05 15:00:35 - Temp: 25.70000076, Hum: 64.09999847, Soil: 277, Relay: 1
2025-06-05 15:00:40 - Temp: 25.70000076, Hum: 64.09999847, Soil: 281, Relay: 1
2025-06-05 15:00:49 - Temp: 25.70000076, Hum: 64, Soil: 281, Relay: 1
2025-06-05 15:00:54 - Temp: 25.70000076, Hum: 64, Soil: 280, Relay: 1
2025-06-05 15:01:00 - Temp: 25.70000076, Hum: 64, Soil: 10, Relay: 1
2025-06-05 15:01:05 - Temp: 25.70000076, Hum: 64, Soil: 10, Relay: 1
2025-06-05 15:01:11 - Temp: 25.70000076, Hum: 64, Soil: 281, Relay: 1
2025-06-05 15:01:16 - Temp: 25.70000076, Hum: 64, Soil: 281, Relay: 1
2025-06-05 15:01:35 - Temp: 25.60000038, Hum: 64.09999847, Soil: 244, Relay: 1
2025-06-05 15:01:43 - Temp: 25.60000038, Hum: 64.09999847, Soil: 281, Relay: 1
2025-06-05 15:01:51 - Temp: 25.60000038, Hum: 64.09999847, Soil: 281, Relay: 1
2025-06-05 15:02:06 - Temp: 25.60000038, Hum: 64.19999695, Soil: 281, Relay: 1
2025-06-05 15:02:24 - Temp: 25.60000038, Hum: 64.19999695, Soil: 281, Relay: 1
2025-06-05 15:02:53 - Temp: 25.5, Hum: 64.40000153, Soil: 281, Relay: 1
2025-06-05 15:02:58 - Temp: 25.5, Hum: 64.40000153, Soil: 281, Relay: 1
2025-06-05 15:07:56 - Temp: 25.60000038, Hum: 64.59999847, Soil: 966, Relay: 0
2025-06-05 15:08:33 - Temp: 25.60000038, Hum: 64.19999695, Soil: 256, Relay: 1
2025-06-05 15:08:39 - Temp: 25.60000038, Hum: 64.30000305, Soil: 326, Relay: 1
2025-06-05 15:08:40 - Temp: 25.60000038, Hum: 64.30000305, Soil: 982, Relay: 0
2025-06-05 15:08:45 - Temp: 25.60000038, Hum: 64.30000305, Soil: 986, Relay: 0
2025-06-05 15:08:51 - Temp: 25.60000038, Hum: 64.30000305, Soil: 405, Relay: 1
2025-06-05 15:08:56 - Temp: 25.60000038, Hum: 64.30000305, Soil: 988, Relay: 0
2025-06-05 15:09:02 - Temp: 25.60000038, Hum: 64.30000305, Soil: 459, Relay: 1
2025-06-05 15:09:05 - Temp: 25.5, Hum: 64.09999847, Soil: 994, Relay: 0
2025-06-05 15:09:13 - Temp: 25.5, Hum: 64.09999847, Soil: 996, Relay: 0
2025-06-05 15:09:16 - Temp: 25.5, Hum: 64.09999847, Soil: 982, Relay: 0
2025-06-05 15:09:34 - Temp: 25.5, Hum: 64, Soil: 230, Relay: 1
2025-06-05 15:09:37 - Temp: 25.5, Hum: 63.90000153, Soil: 996, Relay: 0
2025-06-05 15:09:40 - Temp: 25.5, Hum: 63.90000153, Soil: 1002, Relay: 0
